order_category,order_value,item_value,quantity,time_to_return_request_hours,refund_amount,return_reason,returned_item_match,item_condition_score,package_weight_delta_pct,vision_confidence_score,account_age_days,lifetime_order_count,lifetime_return_count,total_spent,return_rate,return_velocity_30d,return_velocity_48h,shared_device_count,shared_address_count,shared_payment_fingerprint_count,device_return_velocity_7d,address_return_velocity_7d,payment_return_velocity_7d,cluster_return_velocity_7d
Luxury,311.27,311.27,1,393.93,279.18,Changed mind,True,0.9139993731333547,9.65509056877941,0.935887133572949,602,70,4,2826.56,0.05714285714285714,1,0,2,2,2,0,0,0,0
Electronics,288.3,288.3,1,1420.7087417853,278.83,Wrong size,True,0.708,5.955060586442266,0.765,392,64,42,717.44,0.65625,36,0,4,1,1,3,3,3,3
Luxury,88.37,88.37,1,316.8,75.56,Not as expected,True,0.9358486819170444,1.874005460412902,0.8685970252551619,1094,15,1,142.57,0.06666666666666667,0,0,1,2,2,0,0,0,0
Luxury,69.48,69.48,1,59.64,59.82,Changed mind,True,0.9218736393572506,9.009687767939214,0.8812058404758171,1202,27,3,453.37,0.1111111111111111,0,0,1,2,1,0,0,0,0
Beauty,203.34,99.73,1,329.4,93.53,Wrong size,True,0.8540717031220408,4.681689826442353,0.9381661207054175,484,61,54,1514.7,0.8852459016393442,11,0,12,12,12,7,7,7,7
Other,362.87,205.98,1,338.76,203.08,Not as expected,True,0.9827500068324451,0.7048770354315526,0.9820744277743966,667,66,7,151.56,0.10606060606060606,1,0,1,3,1,0,1,0,1
Books,529.59,437.22,1,606.88,422.01,Changed mind,True,0.8585070596311961,7.779276053166008,0.894838002608617,1207,90,8,365.12,0.08888888888888889,0,0,1,1,3,0,0,0,0
Other,296.74,165.72,1,604.32,151.86,Not as expected,True,0.9151374207775993,5.881285699351403,0.997469911505015,258,80,7,1089.05,0.0875,1,0,1,2,2,0,0,0,0
Sports,179.87,25.11,1,679.81,22.78,Changed mind,True,0.9642083895037976,5.734669780662101,0.923516774150039,156,84,14,194.7,0.16666666666666666,1,0,1,2,2,0,0,0,0
Apparel,130.33,130.33,1,639.59,112.87,Not as expected,True,0.9058948531119917,4.795367273014354,0.8780473433960017,1315,81,9,333.07,0.1111111111111111,0,0,3,3,1,2,0,0,2
Books,162.91,27.34,1,84.75,18.64,Changed mind,False,0.981434759382797,55.46,0.156,7,73,10,435.74,0.136986301369863,10,0,4,7,1,0,0,0,0
Apparel,276.22,61.62,1,40.38,58.62,Changed mind,True,0.483,1.7219716233060056,0.797,151,72,5,267.48,0.06944444444444445,0,0,3,2,5,0,0,0,0
Home,230.26,64.99,1,519.14,57.67,Changed mind,True,0.9609504243533724,9.676884316954014,0.8914651510720492,1488,97,5,229.45,0.05154639175257732,0,0,2,4,4,0,0,0,0
Beauty,344.55,339.65,1,285.97665848619664,320.91,Wrong size,True,0.918,9.265471305928925,0.806,77,70,46,297.98,0.6571428571428571,41,4,1,6,3,12,12,12,12
Electronics,56.73,3.53,1,163.08,3.29,Not as expected,True,0.8044636506553859,8.510319052030773,0.9086592494469274,1,72,11,810.02,0.1527777777777778,10,0,4,3,3,1,0,0,1
Home,1291.2,97.29,1,4.33,92.58,Wrong size,True,0.8936047549748172,8.906642130848596,0.9221244183757484,7,44,4,473.92,0.09090909090909091,2,0,2,3,1,0,0,0,0
Beauty,343.26,154.37,1,345.09,132.76,Not as expected,True,0.8344153951388318,1.6056803726676139,0.9545483044706297,5,93,13,333.64,0.13978494623655913,11,0,4,4,1,0,0,0,0
Electronics,156.22,156.22,1,301.86,148.13,Changed mind,True,0.9160570402178845,9.27684884391477,0.857147768258342,521,72,7,1230.34,0.09722222222222222,0,0,1,1,4,0,0,0,0
Luxury,479.97,479.97,1,340.03,471.12,Changed mind,True,0.9770423984701135,6.978101915702792,0.8941908155469337,1261,76,11,267.96,0.14473684210526316,1,0,1,3,1,0,0,0,0
Home,242.19,205.12,1,626.33,202.54,Wrong size,True,0.9170927969559194,8.85227925300008,0.9731507389497589,1279,49,32,570.23,0.6530612244897959,26,3,2,1,1,7,7,7,7
Beauty,438.96,438.96,1,697.75,390.09,Not as expected,True,0.9215025559358545,7.140523416067128,0.8797743285709037,637,99,12,512.67,0.12121212121212122,1,0,2,2,3,3,0,0,3
Beauty,265.89,265.89,1,525.78,234.52,Wrong size,True,0.8753981936071228,2.960485511996299,0.9865517244647214,1111,24,4,1610.08,0.16666666666666666,0,0,2,2,4,0,0,0,0
Beauty,740.42,595.19,1,261.95,577.6,Wrong size,True,0.8091569206892025,4.217428166128911,0.905809160135379,0,31,7,341.05,0.22580645161290322,6,0,2,2,6,0,0,2,2
Other,160.82,125.46,1,611.91,106.7,Not as expected,True,0.9946170343821239,2.5734286341644497,0.8897729213374447,187,95,7,280.34,0.07368421052631578,0,0,2,3,2,0,0,0,0
Other,107.55,107.55,1,256.21,104.57,Changed mind,True,0.8248552172159681,2.9501942570524076,0.9407594737070399,759,9,2,206.16,0.2222222222222222,0,0,2,5,3,0,0,0,0
Home,46.65,37.32,1,185.62,35.28,Changed mind,True,0.9170566751571582,9.221469772293556,0.986679995959534,2,59,8,300.47,0.13559322033898305,4,0,2,3,2,1,1,1,1
Other,335.66,63.47,1,711.39,54.98,Changed mind,True,0.9400817246383937,8.14482876205258,0.9758815588133277,5,49,4,120.79,0.08163265306122448,2,0,2,4,1,0,1,0,1
Other,81.68,61.85,1,150.44,61.08,Not as expected,True,0.8742776142260007,4.850026259730502,0.9606769448362364,6,66,12,347.66,0.18181818181818182,9,0,2,2,1,0,0,0,0
Apparel,157.38,32.69,1,363.23,31.93,Wrong size,True,0.9537026053858102,5.921598100321588,0.8819260439510659,1292,81,11,109.79,0.13580246913580246,0,0,1,5,2,0,0,0,0
Books,171.65,31.81,1,639.0,27.54,Wrong size,True,0.8550053592451017,0.8306953714286236,0.9208415692897356,7,62,5,651.78,0.08064516129032258,4,0,2,3,2,1,1,1,1
Electronics,284.55,0.9,1,102.26,0.9,Wrong size,True,0.993615841304806,1.435024591759816,0.9490545003061849,842,100,14,576.84,0.14,0,0,1,3,3,0,1,0,1
Sports,514.74,112.94,1,359.08,97.42,Not as expected,True,0.9599236574457151,1.9185967738743726,0.9584027109954252,996,46,4,1215.3,0.08695652173913043,0,0,2,3,3,0,0,0,0
Beauty,428.22,75.18,1,649.54,67.31,Changed mind,True,0.8062984404596067,9.91511266815694,0.8615371225508222,132,93,10,119.4,0.10752688172043011,0,0,3,1,2,2,0,0,2
Beauty,260.68,54.1,1,228.67,46.43,Wrong size,True,0.8756696092936954,2.812888378809869,0.9185634014689763,1,83,10,262.39,0.12048192771084337,8,0,1,4,1,4,4,4,4
Apparel,216.07,5.88,1,484.69,5.8,Changed mind,True,0.850231073035326,6.499105872323939,0.9172037435512418,1286,48,3,2667.03,0.0625,0,0,2,3,4,0,0,0,0
Apparel,169.13,148.89,1,587.12,147.9,Changed mind,True,0.8311480967511028,4.749300277786402,0.9600996110558524,499,69,9,295.68,0.13043478260869565,1,0,1,1,1,0,0,0,0
Luxury,326.71,66.1,1,556.95,64.72,Changed mind,True,0.8865102939611667,5.627531535050558,0.9954762875186056,1096,34,30,119.36,0.8823529411764706,7,0,12,12,12,7,7,7,7
Sports,145.36,145.36,1,8048.9741790647095,140.94,Not as expected,True,0.745,7.238223225093822,0.741,405,31,21,2083.43,0.6774193548387096,16,0,3,5,2,5,6,5,6
Electronics,514.64,323.47,1,335.23,309.55,Changed mind,True,0.899501492064449,1.246541004976759,0.9211163911135678,119,85,10,334.68,0.11764705882352941,1,0,3,3,3,0,0,3,3
Sports,153.05,130.51,1,533.55,130.04,Not as expected,True,0.9592006771213616,4.871759867256866,0.8790044980637566,1377,88,5,285.97,0.056818181818181816,0,0,2,3,1,0,0,0,0
Other,165.17,147.13,1,273.91,136.9,Changed mind,True,0.8643359518355068,1.9619580603134668,0.8969464042574884,1263,62,5,244.81,0.08064516129032258,0,0,1,2,1,0,0,0,0
Electronics,36.93,15.01,1,204.16,13.53,Changed mind,True,0.8857919220140271,0.37293827964254844,0.9888584702295924,1122,41,7,215.41,0.17073170731707318,0,0,1,3,1,0,0,0,0
Books,107.29,107.29,1,19365.186194823294,99.75,Not as expected,True,0.675,4.1877551516090294,0.751,1198,86,56,1076.1,0.6511627906976745,51,2,1,3,2,6,7,7,7
Sports,114.46,114.46,1,642.93,107.22,Wrong size,True,0.8515767597441466,6.079819925585543,0.9742254508524285,962,100,8,590.45,0.08,0,0,1,3,3,0,0,0,0
Other,160.01,44.68,1,100.56,40.24,Wrong size,True,0.9469046535034599,0.5600804034787565,0.9400928571214647,261,43,6,164.71,0.13953488372093023,0,0,2,4,2,0,0,0,0
Sports,195.54,60.62,1,246.67,35.8,Wrong size,False,0.9584873815430006,71.64,0.386,6,49,8,316.38,0.16326530612244897,6,0,2,3,2,0,0,0,0
Other,261.69,5.83,1,19740.20710685068,5.49,Not as expected,True,0.718,0.7857894085045358,0.722,707,94,62,222.85,0.6595744680851063,54,5,1,3,1,10,10,10,10
Beauty,435.1,435.1,1,208.06,393.86,Wrong size,True,0.9476923623160616,8.330728810410106,0.9367077230549951,1,48,5,642.21,0.10416666666666667,4,0,1,3,3,0,0,1,1
Other,41.45,41.45,1,198.11,36.41,Wrong size,True,0.9800493605412167,6.5705465908607605,0.9711771957596822,751,37,2,1149.24,0.05405405405405406,0,0,2,4,2,0,0,0,0
Books,237.49,237.49,1,591.32,213.28,Changed mind,True,0.9850972933836109,2.705201273885791,0.9632327829096421,3,100,16,325.07,0.16,13,0,3,6,2,2,3,2,3
Luxury,156.04,156.04,1,564.74,147.36,Not as expected,True,0.9806572462495884,8.37938498972039,0.9641509544385268,871,3,1,32.11,0.3333333333333333,0,0,3,2,1,1,0,0,1
Beauty,104.9,104.9,1,562.15,97.17,Wrong size,True,0.8032141279395916,5.675784959873948,0.9809180510218148,508,86,76,550.63,0.8837209302325582,13,0,12,12,12,7,7,7,7
Luxury,55.46,55.46,1,200.08,49.92,Not as expected,True,0.9643340804645852,8.402764637713362,0.9368466184734734,1171,97,7,48.18,0.07216494845360824,0,0,2,4,3,0,0,0,0
Sports,100.45,100.45,1,249.83,96.38,Changed mind,True,0.9695221598134538,9.804947698926583,0.9823307090592741,60,17,2,307.42,0.11764705882352941,0,0,4,6,2,0,1,0,1
Other,91.97,79.96,1,273.49,71.38,Wrong size,True,0.9414088367876366,9.690065864579292,0.9784263800232156,893,71,6,75.83,0.08450704225352113,0,0,1,5,1,0,0,0,0
Sports,124.1,98.67,1,17974.52622142075,97.27,Changed mind,True,0.77,3.8262384363962543,0.747,1426,73,48,162.72,0.6575342465753424,43,6,3,5,1,14,14,14,14
Other,225.66,31.62,1,352.87,31.14,Wrong size,True,0.8234481230052696,8.676304743089753,0.9177776791168599,640,55,7,571.24,0.12727272727272726,1,0,1,4,2,0,0,0,0
Apparel,632.82,3.78,1,563.01,3.22,Wrong size,True,0.8952103150509035,9.689667997264483,0.9567477021389771,156,84,14,194.7,0.16666666666666666,1,0,1,2,2,0,0,0,0
Beauty,517.24,517.24,1,524.63,459.97,Wrong size,True,0.8034645115815492,6.736980406651005,0.8663196223321008,1473,30,1,285.83,0.03333333333333333,0,0,1,1,4,0,0,0,0
Books,179.6,81.23,1,105.26,76.6,Wrong size,True,0.9348938168525752,2.9524822178617747,0.9603541422935342,1,63,4,574.34,0.06349206349206349,4,0,3,2,2,0,0,0,0
Books,184.04,38.73,1,61.26,35.58,Wrong size,True,0.9036882886828903,2.4929999648397407,0.9988964052062316,908,100,11,632.8,0.11,0,0,3,2,1,0,0,0,0
Apparel,260.47,260.47,1,373.51,251.74,Not as expected,True,0.9655525940419284,8.353250393648407,0.9635483635680845,797,41,2,245.27,0.04878048780487805,0,0,2,4,3,0,0,0,0
Books,260.54,201.54,1,433.59,199.57,Not as expected,True,0.8547074293736213,9.692504212881815,0.8817091893734439,4,86,11,687.86,0.12790697674418605,8,0,1,4,2,1,2,1,2
Home,184.8,184.8,1,205.32,171.28,Changed mind,True,0.9873934174936019,5.502196549687444,0.9029246414669388,104,39,5,350.29,0.1282051282051282,2,0,1,1,4,0,0,0,0
Electronics,148.57,0.47,1,465.68,0.47,Wrong size,True,0.9217869828071982,6.480430793507259,0.9688587233375422,940,81,10,290.99,0.12345679012345678,0,0,3,2,1,1,0,0,1
Other,184.31,69.48,1,609.08,63.83,Wrong size,True,0.968495617248489,5.039673949620282,0.956444805146042,168,40,2,521.73,0.05,0,0,1,2,4,0,0,0,0
Sports,68.07,6.85,1,346.21,6.19,Changed mind,True,0.8229546458696984,3.176490562957135,0.9097397784149721,1167,44,39,315.74,0.8863636363636364,9,0,12,12,12,7,7,7,7
Sports,138.37,138.37,1,471.08,129.69,Wrong size,True,0.9051746883928342,9.9449851196303,0.8529223188528421,607,99,10,1140.68,0.10101010101010101,0,0,2,2,2,0,0,1,1
Luxury,189.52,189.52,1,640.57,172.79,Not as expected,True,0.8577755721340437,8.838859884102979,0.9866444396784289,6,94,16,176.45,0.1702127659574468,14,0,5,3,3,3,3,3,3
Sports,433.17,433.17,1,557.1,413.27,Wrong size,True,0.8308075030158747,7.840520354457624,0.9498791244581114,3,28,1,169.0,0.03571428571428571,1,0,1,3,2,0,0,0,0
Home,102.0,37.91,1,558.81,37.36,Not as expected,True,0.997616970797484,0.23833662042155312,0.8929476060857304,199,83,9,208.58,0.10843373493975904,0,0,3,3,3,0,0,0,0
Luxury,401.26,359.35,1,78.51,355.25,Not as expected,True,0.9608585603460752,5.987225983538909,0.8608615325686718,842,100,14,576.84,0.14,0,0,1,3,3,0,1,0,1
Apparel,152.43,22.21,1,657.07,19.3,Wrong size,True,0.9925137521421321,7.814470744932444,0.8876397275230252,3,39,4,1263.27,0.10256410256410256,3,0,2,4,3,0,0,0,0
Electronics,383.2,30.58,1,496.64,27.64,Not as expected,True,0.9696815851936398,6.343035452965017,0.8665601270113323,1198,92,6,56.54,0.06521739130434782,0,0,2,3,1,0,0,0,0
Electronics,569.6,128.22,1,18.1,116.69,Wrong size,True,0.321,4.122213810287855,0.604,1357,99,14,795.58,0.1414141414141414,0,0,2,2,1,0,0,0,0
Sports,180.98,180.98,1,455.28,180.78,Wrong size,True,0.9902976909710438,6.52570299780683,0.8502526255996392,194,35,4,111.79,0.11428571428571428,0,0,1,3,2,0,0,0,0
Sports,167.54,43.78,1,500.93,37.83,Not as expected,True,0.8896691740021598,1.4236175285727337,0.8681853016437352,270,87,7,398.09,0.08045977011494253,0,0,1,5,2,0,0,0,0
Other,70.73,70.73,1,152.93,69.26,Changed mind,True,0.8958827190807593,5.087336283143291,0.8582053764397249,5,52,6,283.28,0.11538461538461539,5,0,2,2,3,0,0,3,3
Sports,245.69,245.69,1,180.22,238.65,Changed mind,True,0.9386748650708184,1.2108142622765816,0.9632113365248606,1328,52,2,1379.45,0.038461538461538464,0,0,2,3,1,0,0,0,0
Books,147.74,147.74,1,2164.3700018530294,141.14,Changed mind,True,0.731,0.5881682497494856,0.782,1198,86,56,1076.1,0.6511627906976745,51,2,1,3,2,6,7,7,7
Luxury,100.38,3.53,1,164.02,3.31,Not as expected,True,0.9686498996572881,1.5163176467644568,0.8730635640132838,241,66,7,209.35,0.10606060606060606,0,0,1,4,1,0,0,0,0
Luxury,171.03,65.15,1,387.97,62.83,Wrong size,True,0.9112171006177913,4.694119642112166,0.997000478962285,0,91,13,1153.19,0.14285714285714285,9,0,1,1,1,1,1,1,1
Luxury,382.53,243.07,1,661.09,213.56,Wrong size,True,0.9034969719677034,1.9783197894276516,0.9063248153737953,1,83,10,262.39,0.12048192771084337,8,0,1,4,1,4,4,4,4
Home,316.49,316.49,1,91.24,314.04,Not as expected,True,0.9674645332043839,2.7479210353807284,0.9092608295757801,3,94,11,146.86,0.11702127659574468,10,0,1,3,4,3,3,3,3
Home,44.7,44.7,1,243.75,43.46,Wrong size,True,0.8286181096863152,1.8622412779300734,0.9240460937671086,963,44,8,861.97,0.18181818181818182,0,0,1,4,1,0,2,0,2
Beauty,151.85,105.9,1,465.22,96.43,Wrong size,True,0.9813347388797045,3.660954133730099,0.925209382226927,1285,99,8,569.44,0.08080808080808081,0,0,3,2,1,0,0,0,0
Books,125.48,125.48,1,523.76,121.4,Wrong size,True,0.9613804785183945,1.6704518004732594,0.9818141168965361,1174,92,8,447.58,0.08695652173913043,0,0,3,2,2,0,0,0,0
Apparel,246.69,246.69,1,392.69,244.65,Not as expected,True,0.9031807092494268,9.116873618557818,0.9205387781370866,182,100,8,273.11,0.08,2,0,2,2,3,0,0,0,0
Luxury,254.01,254.01,1,423.77,247.45,Wrong size,True,0.8558632709652845,4.774892812308428,0.8951911497174816,484,61,54,1514.7,0.8852459016393442,11,0,12,12,12,7,7,7,7
Beauty,61.84,61.84,1,348.07,52.76,Not as expected,True,0.9604267747408142,2.4466895789193277,0.9655283759347157,929,45,5,361.78,0.1111111111111111,0,0,2,2,2,0,0,0,0
Home,93.17,93.17,1,132.44,79.4,Changed mind,True,0.8561520307558879,9.438921447250276,0.8567767554290564,442,79,9,127.79,0.11392405063291139,0,0,2,2,3,0,1,0,1
Electronics,204.14,204.14,1,500.37,180.37,Wrong size,True,0.8270967746836972,1.718318649130608,0.8752088068032264,7,12,2,275.25,0.16666666666666666,1,0,3,3,2,0,3,0,3
Books,54.43,54.43,1,289.95,50.81,Changed mind,True,0.9240412993005628,4.481806232544824,0.9627468640808153,811,63,8,584.44,0.12698412698412698,0,0,3,1,1,0,0,0,0
Beauty,100.78,63.75,1,657.83,62.56,Not as expected,True,0.8594566233289486,2.534252990846022,0.9975672096836196,498,83,9,364.69,0.10843373493975904,0,0,3,3,3,0,0,0,0
Other,239.67,239.67,1,674.69,222.61,Wrong size,True,0.8804773804233498,8.449763609263595,0.9604261369990461,5,44,7,132.64,0.1590909090909091,7,0,1,3,1,1,1,1,1
Electronics,323.14,123.05,1,33.14,108.36,Wrong size,True,0.426,1.6095749255013803,0.815,457,56,7,98.55,0.125,0,0,3,4,3,0,0,0,0
Sports,376.03,294.38,1,555.8,276.09,Wrong size,True,0.8408916081029243,0.23707079168593714,0.9900728559573,1,18,3,1082.33,0.16666666666666666,2,0,1,4,2,0,0,1,1
Sports,157.56,16.97,1,146.82,15.51,Not as expected,True,0.8177269301693354,2.0084377008809473,0.9802132666837906,733,72,5,272.38,0.06944444444444445,0,0,1,7,1,0,0,0,0
Apparel,1365.78,1365.78,1,3963.3848979666923,1291.26,Not as expected,True,0.88,2.9299032801639524,0.784,801,67,44,340.6,0.6567164179104478,39,6,1,1,2,10,10,10,10
Apparel,114.81,99.45,1,450.56,89.32,Wrong size,True,0.9969148249760359,0.4274756612605968,0.9234264000696993,7,48,8,900.47,0.16666666666666666,6,0,3,2,2,0,0,0,0
Beauty,1385.24,277.27,1,8.09,261.45,Wrong size,True,0.8656383918644351,5.3316588370424745,0.8564791545926154,4,49,2,552.12,0.04081632653061224,2,0,2,2,2,0,0,0,0
Sports,45.34,26.56,1,557.22,23.13,Changed mind,True,0.9542691128842019,6.920081881324971,0.9871581888707276,119,85,10,334.68,0.11764705882352941,1,0,3,3,3,0,0,3,3
Luxury,478.34,188.75,1,64.3,184.66,Wrong size,True,0.528,7.163971819385996,0.767,1405,57,6,691.13,0.10526315789473684,0,0,2,3,1,0,3,0,3
Electronics,481.78,351.7,1,417.14,326.66,Not as expected,True,0.9712786522695046,6.39091923972781,0.9280049361381162,392,99,10,156.8,0.10101010101010101,0,0,1,3,2,0,0,0,0
Other,295.39,184.46,1,328.02,178.55,Changed mind,True,0.8297814544209717,6.862429722286595,0.9321003756484001,7,54,4,260.49,0.07407407407407407,2,0,2,2,1,0,0,0,0
Apparel,122.12,27.72,1,679.78,26.53,Not as expected,True,0.8898503197739154,4.324440956765683,0.8573208329084916,1264,80,9,435.46,0.1125,0,0,1,2,2,0,0,0,0
Luxury,96.28,96.28,1,618.19,83.24,Wrong size,True,0.9665944343312836,4.625070425010911,0.8619571132729815,707,41,3,347.21,0.07317073170731707,0,0,1,2,3,0,0,0,0
Home,84.05,84.05,1,71.48,43.52,Changed mind,False,0.9695498876286179,78.81,0.173,418,86,11,734.49,0.12790697674418605,0,0,3,3,4,1,0,3,3
Beauty,67.69,10.92,1,173.49,9.74,Wrong size,True,0.9723535386885191,6.831810089128746,0.9780412516025577,1080,25,20,850.7,0.8,5,0,12,12,12,7,7,7,7
Home,155.44,155.44,1,341.5,142.74,Wrong size,True,0.8743633649799707,2.7729118890532023,0.9247960043772326,1088,86,9,839.02,0.10465116279069768,0,0,1,5,3,0,0,0,0
Electronics,55.4,24.68,1,594.67,22.65,Wrong size,True,0.8735024218644705,8.057784276350327,0.9101848827215115,697,85,5,341.69,0.058823529411764705,0,0,3,7,4,0,0,0,0
Sports,247.54,41.63,1,225.31,40.38,Not as expected,True,0.801300128986259,6.446974264623119,0.8636663523324181,1167,44,39,315.74,0.8863636363636364,9,0,12,12,12,7,7,7,7
Home,507.37,111.05,1,640.34,102.23,Not as expected,True,0.9925072632576488,2.5600560426997565,0.9194662281330804,187,95,7,280.34,0.07368421052631578,0,0,2,3,2,0,0,0,0
Electronics,147.1,25.52,1,356.34,22.28,Changed mind,True,0.8804059987611629,6.346567824368541,0.9870883562541954,336,53,5,116.99,0.09433962264150944,0,0,3,4,2,2,0,0,2
Apparel,24.39,12.01,1,227.49,10.96,Wrong size,True,0.9170222466868363,4.8881384277023265,0.9864818891044623,331,21,4,835.14,0.19047619047619047,0,0,4,5,1,1,9,0,9
Electronics,31.28,26.69,1,494.48,22.69,Wrong size,True,0.817708177477373,4.643576659724735,0.913016082208242,2,64,11,290.03,0.171875,11,0,3,2,3,1,1,1,1
Luxury,329.69,131.7,1,599.64,110.21,Changed mind,False,0.9122878323983383,81.08,0.256,6,67,5,108.76,0.07462686567164178,4,0,5,4,1,0,0,0,0
Electronics,308.98,228.22,1,529.67,213.47,Wrong size,True,0.9544798277169996,0.6773528753949531,0.9314279850997293,1306,78,8,496.65,0.10256410256410256,0,0,1,1,3,0,0,12,12
Sports,392.18,203.17,1,592.87,176.5,Wrong size,True,0.981937315963679,8.470760808757511,0.959275342492163,948,90,6,163.99,0.06666666666666667,0,0,3,4,1,0,0,0,0
Sports,262.6,161.31,1,176.72,149.8,Not as expected,True,0.8339934040874962,1.6984720875451098,0.8812696263608191,607,99,10,1140.68,0.10101010101010101,0,0,2,2,2,0,0,1,1
Luxury,511.59,230.21,1,520.27,229.22,Changed mind,True,0.8464345229852847,0.5319181803227124,0.9270853147649765,240,52,4,115.89,0.07692307692307693,0,0,1,4,2,0,0,0,0
Luxury,389.94,74.29,1,30.91,70.38,Not as expected,True,0.485,5.483748563598843,0.613,465,88,10,549.3,0.11363636363636363,0,0,1,3,2,0,0,0,0
Apparel,944.47,130.55,1,9.22,122.28,Not as expected,True,0.9759220288655706,9.747966125889775,0.8946478864957638,2,65,4,202.65,0.06153846153846154,3,0,2,7,3,0,0,0,0
Other,127.44,32.84,1,452.66,28.59,Changed mind,True,0.9237669524627097,2.421254559059557,0.95411241812561,501,74,7,216.78,0.0945945945945946,0,0,2,3,2,0,0,0,0
Beauty,124.63,26.39,1,578.96,22.48,Not as expected,True,0.9518782069103691,8.9574617473252,0.8889733573958218,3,94,12,322.39,0.1276595744680851,11,0,2,3,2,1,1,1,1
Apparel,405.01,405.01,1,416.26,360.47,Not as expected,True,0.9946825540493097,0.6758542587822691,0.9575753470848267,1043,44,4,183.66,0.09090909090909091,0,0,2,4,2,0,0,0,0
Books,64.34,22.62,1,77.64,20.75,Wrong size,True,0.8657954808328144,8.084825884271131,0.9691313719386724,612,69,6,641.54,0.08695652173913043,0,0,2,3,1,0,10,0,10
Home,262.73,180.4,1,128.58,153.89,Changed mind,True,0.823790126938734,6.786781948844865,0.948787183321532,0,74,8,901.82,0.10810810810810811,7,0,3,2,1,0,0,0,0
Apparel,257.89,60.1,1,247.04,53.63,Changed mind,True,0.8084191421854282,2.168134809527312,0.9035297623309582,2,22,4,388.06,0.18181818181818182,2,0,1,2,3,0,0,0,0
Electronics,237.25,29.16,1,12711.305049121549,25.97,Changed mind,True,0.947,2.9523857113108534,0.833,707,94,62,222.85,0.6595744680851063,54,5,1,3,1,10,10,10,10
Beauty,416.14,364.41,1,616.0,361.28,Not as expected,True,0.8655302566384931,2.8471260672108603,0.9745411563712012,1172,86,8,162.91,0.09302325581395349,0,0,2,2,2,1,0,0,1
Sports,95.94,95.94,1,368.5,91.6,Changed mind,True,0.8567358037945811,7.015574182300115,0.9893825443461308,660,83,6,249.45,0.07228915662650602,0,0,2,3,2,0,0,0,0
Electronics,100.97,99.66,1,259.2,86.61,Changed mind,True,0.8150143930367078,9.382341496323916,0.9073676515039317,4,77,9,313.8,0.11688311688311688,8,1,2,6,2,2,2,2,2
Electronics,82.95,76.19,1,475.39,74.84,Wrong size,True,0.9136432719467676,0.7191087111796923,0.9066394347846879,110,54,7,251.79,0.12962962962962962,1,0,1,4,1,0,0,0,0
